timestamp,speaker,words,tags
00:00:00,Herbert Halpert,"But, did they always have the same tune to it?",Herbert Halpert
00:00:02,Harold B. Hazelhurst,"Oh yes, they had the same tune all the time but different wording, you know. They would make up words all the time. You see, the fellows from different railroads would come and work on this track with us and each fellow, perhaps he'd have a new verse that he'd add to the song.",Harold B. Hazelhurst
00:00:17,Herbert Halpert,"Well, good. Well now, let's hear it the way that you remember it.",Herbert Halpert
00:00:20,Harold B. Hazelhurst,"Well, sing it over again? Sing it now?",Harold B. Hazelhurst
00:00:22,Herbert Halpert,Start from the beginning. Alright.,Herbert Halpert
00:01:35,Distortion,[Distortion],Distortion
00:01:43,Herbert Halpert,Tell us about this.,Herbert Halpert
00:01:44,Harold B. Hazelhurst,"Every morning about four o'clock, the foreman, the tent, sack rouster, would go around and knock on the tent with his axe handle. Says 'Alright boys, let's go back'. Says 'Let's go back boys to double track. The work ain't hard, the man ain't mean. The cook ain't nasty, but the grub ain't clean. You sleep on my good bed and you call 'em bunk. You eat my good ration, and you call it junk. So, now let's go back.'",Harold B. Hazelhurst
00:02:13,Herbert Halpert,"How was the arrangement, how was the arrangement of the tents?",Herbert Halpert
00:02:16,Harold B. Hazelhurst,"The tents were in circles. And each, they were built in circles so as when he'd leave the last tent, he would be at the first tent again. He'd go all around and when he stopped at the last tent, he'd be right back at the first tent again.",Harold B. Hazelhurst
00:02:34,Herbert Halpert,"Well, he was the foreman of the job?",Herbert Halpert
00:02:36,Harold B. Hazelhurst,"Well, he was one of the foremans on the job.",Harold B. Hazelhurst
00:02:38,Herbert Halpert,Uh-huh.,Herbert Halpert
00:02:39,Harold B. Hazelhurst,"So, they would take turns in arousing the men every morning but this particular man, he would use those phrase.",Harold B. Hazelhurst
00:02:45,Herbert Halpert,Uh-huh. And he just said them like that?,Herbert Halpert
00:02:47,Harold B. Hazelhurst,"Yes, he didn't have no expression whatever. [Laughter]. It was just dry.",Harold B. Hazelhurst
00:02:53,Herbert Halpert,"[Laughter]. Even if he had no expression, let's hear it again.",Herbert Halpert
00:02:59,Harold B. Hazelhurst,"Come on boys, let's go back to double track. The work ain't hard, and the man ain't mean. The cook ain't nasty, but the grub ain't clean. You sleep on the good beds and you call 'em bunk. You eat my good rations, and you call it junk. So, now let's go back.'",Harold B. Hazelhurst
00:03:21,Herbert Halpert,Tell me when it would be different.,Herbert Halpert
00:03:23,Harold B. Hazelhurst,"Well, sometime, when the boss man wouldn't go around himself, he'd send some of the fellas, colored fellas, around to arouse the men. They'd say 'Come on boys, let's go back. Yes, you sleep on his good beds and you call 'em bunk,  You eat his good rations, and you call 'em junk. So, now if I have to call it, you want to fight. Now that white man call it, it's captain alright. Now, let's go back.",Harold B. Hazelhurst
00:03:54,Herbert Halpert,Alright. Tell us about it.,Herbert Halpert
00:03:55,Harold B. Hazelhurst,"All of these songs that I'm singing, they didn't have no particular title. We just began singing them as the feelings would come on.",Harold B. Hazelhurst
00:04:04,Herbert Halpert,"Alright, when did the feelings come on for this one?",Herbert Halpert
00:04:07,Harold B. Hazelhurst,"Well, sometimes the fellas, it'd be near pay day, and some of the fellas would think about going away to another job and they began feeling good. They began singing some of these songs and this one, in particular.",Harold B. Hazelhurst
00:06:08,Herbert Halpert,Go ahead.,Herbert Halpert
00:06:05,Distortion,[Distortion],Distortion
00:06:11,H. W. Stuckey,"During the early days of the settlers in South Carolina, Buford County, when the church was first established there, before there were schools and seminaries, why the preachers preached mostly by imagination, and as I've been in contact during my boyhood days with quite a few settlers from that part of the state, I've learned this sermon how an old minister use to preach it a long time ago and instead of being able to reiterate from the bible, he just imagined something and went on to preach it in a form of dialect as I shall give you now as near as I can imitate him.",H. W. Stuckey
00:09:36,Herbert Halpert,What was that song? When did that song come in?,Herbert Halpert
00:09:39,H. W. Stuckey,"[Laughter] On the close of the sermon, they open the doors of the church after he got through.",H. W. Stuckey
00:09:43,Herbert Halpert,Yeah and who would sing it?,Herbert Halpert
00:09:45,H. W. Stuckey,Old sister in the corner.,H. W. Stuckey
00:09:48,Herbert Halpert,Well I mean was there any particular reason for singing this song? Was that at the opening of the church door?,Herbert Halpert
00:09:52,H. W. Stuckey,"At the opening of the church door according to the members, the church members.",H. W. Stuckey
00:09:56,Herbert Halpert,"And this was the song that was used, she would use?",Herbert Halpert
00:09:58,Herbert Halpert,"Would you sing it over again, please?",Herbert Halpert
00:10:18,Zora Neale Hurston,"Uh Zora Hurston speaking. In all the big work camps, sawmills, and turpentine, still, and road camps and whatnot they have a man to go down and wake up the camp. And he has various chants and hollers to wake them up and sometimes he wakes them up as he goes along.",Zora Neale Hurston
00:10:34,Herbert Halpert,"Well, speaking about what you're getting ready to, Where'd you hear that?",Herbert Halpert
00:10:40,Zora Neale Hurston,"Well, I heard these at Loughman, a big sawmill down state in Polk County.",Zora Neale Hurston
00:11:54,Herbert Halpert,Alright,Herbert Halpert
00:11:54,Carita Doggett Corse,"What kind of a song is this, Zora?",Carita Doggett Corse
00:11:56,Zora Neale Hurston,This is a Nassau song from the Bahamas.,Zora Neale Hurston
00:11:59,Carita Doggett Corse,When is it used?,Carita Doggett Corse
00:12:01,Zora Neale Hurston,"Well, they sing this song when they're jumping the fire dance.",Zora Neale Hurston
00:12:06,Carita Doggett Corse,What is the fire dance?,Carita Doggett Corse
00:12:07,Zora Neale Hurston,The fire dance is some sort of African survival in the West Indies and they beat the drums and sing these little songs.,Zora Neale Hurston
00:12:15,Carita Doggett Corse,And how did you happen to learn it?,Carita Doggett Corse
00:12:17,Zora Neale Hurston,"Well, I was doing research down there, collecting songs out of Columbia University and I collected quite a few of them and this is just one of them.",Zora Neale Hurston
00:12:44,Zora Neale Hurston,And they keep that up until the drum is cold and then they change it and they sing another song of the same kind.,Zora Neale Hurston
00:12:51,Carita Doggett Corse,What is this?,Carita Doggett Corse
00:12:51,Herbert Halpert,You better sing another song of the same kind.,Herbert Halpert
00:12:53,Zora Neale Hurston,"Uh, this one, this song is [distortion].",Zora Neale Hurston
00:12:57,Herbert Halpert,Wait [distortion],Herbert Halpert
00:13:04,Herbert Halpert,Go ahead. Next song.,Herbert Halpert
00:13:06,Herbert Halpert,"This little song is a story. Uh, the young lady thinks that it's time for them to get married. in fact, she thinks they just have to and the boy doesn't want to marry and so this song is about it.",Herbert Halpert
00:14:02,Carita Doggett Corse,Are those songs sung in Florida as well as in the West Indies?,Carita Doggett Corse
00:14:06,Zora Neale Hurston,"Yes, Dr. Corse. Uh, they are sung in Key West and Miami and Palm Beach and out in the Everglades where a great number of Nassaus are working in the bean fields and whatnot. Uh, there are a great number of them in Florida who hold jumping dances every week.",Zora Neale Hurston
00:14:23,Carita Doggett Corse,I think it's very interesting that we have inferences from the West Indies as well as the rural South in our Florida Negro folklore.,Carita Doggett Corse
00:14:43,Gilberto,Gilberto,Gilberto
