timestamp,speaker,words,tags
52,Inaudible,[Inaudible],Inaudible
347,Inaudible,[Inaudible],Inaudible
943,Inaudible,[Inaudible],Inaudible
1085,Herbert Halpert,Alright.,Herbert Halpert
1232,Herbert Halpert,Alright. Let's play.,Herbert Halpert
1679,Herbert Halpert,Alright.,Herbert Halpert
1980,Herbert Halpert,Alright.,Herbert Halpert
2148,Herbert Halpert,[inaudible] Now go.,Herbert Halpert
2262,Inaudible,[Inaudible],Inaudible
2439,Herbert Halpert,Alright sing!,Herbert Halpert
2490,Herbert Halpert,Go ahead. Sing it again.,Herbert Halpert
2508,Distortion,[Distortion],Distortion
2673,Distortion,[Distortion],Distortion
2720,Distortion,[Distortion],Distortion
2729,Zora Neale Hurston,"My name is Zora Neal Hurston. I was born in Eatonville, FLorida. I'm 35 years old. This song that I'm going to sing is a railroad song that I found on a railroad gang near Miami and was song to me by Max Ford.",Zora Neale Hurston
2749,Herbert Halpert,How long ago was that?,Herbert Halpert
2751,Zora Neale Hurston,That was in 1930.,Zora Neale Hurston
2755,Herbert Halpert,How did you happen to be going around getting songs?,Herbert Halpert
2758,Zora Neale Hurston,"I was collecting folk material for Columbia University as part of the Barnard College, Columbia University.",Zora Neale Hurston
2765,Herbert Halpert,What is the song called?,Herbert Halpert
2767,Zora Neale Hurston,They call it Gonna see my long-haired babe and it's a railroad spiking song and the rhythm is kept with a spike and a hammer.,Zora Neale Hurston
2777,Herbert Halpert,"Will you try to emphasize, give me the approximate rhythm of the hammer with the stick by hitting it against that?",Herbert Halpert
2782,Zora Neale Hurston,"Yes, sir.",Zora Neale Hurston
2883,Zora Neale Hurston,"Let them hammers ring, boy.",Zora Neale Hurston
2888,Herbert Halpert,"I see you, you seem to be hitting down twice for a hammer. Why is that?",Herbert Halpert
2894,Zora Neale Hurston,"Uh, the men face each other with hammers and they call on each other; they're breasted, they stand breast to breast and one comes down and the other one comes down.",Zora Neale Hurston
2903,Herbert Halpert,Immediately afterwards?,Herbert Halpert
2904,Zora Neale Hurston,"Yes, one comes down [strike, strike]",Zora Neale Hurston
2907,Herbert Halpert,"I see [strike, strike] and how long is that between the double strikes?",Herbert Halpert
2912,Zora Neale Hurston,"The minute that one goes down, the other is on the upstroke and comes right down behind it.",Zora Neale Hurston
2916,Herbert Halpert,And who does the singing?,Herbert Halpert
2918,Zora Neale Hurston,They sing in line. It's a man who doesn't work at all. And he walks up and down and gives the rhythm for the people to work.,Zora Neale Hurston
2925,Herbert Halpert,Is this for a whole crew of men?,Herbert Halpert
2927,Zora Neale Hurston,A whole crew of men singing this one time and the railroad has to pay the singing liner or else the men won't work.,Zora Neale Hurston
