timestamp,speaker,words,tags
00:00:00,Zora Neale Hurston,"In the jook houses and doing any kind of work at all, chopping wood and in the lumber camps and everywhere you find this song. No where you can't find parts of this song, 'Mule on the Mount'.",Zora Neale Hurston
00:00:11,Herbert Halpert,"Well, is it known, is it a consistent song as you hear it all over?",Herbert Halpert
00:00:16,Zora Neale Hurston,"The tune is consistent but the verses, you know how things, in every locality you can find some new verses, everywhere.",Zora Neale Hurston
00:00:24,Herbert Halpert,I mean does it have the same choral verses? Does it have 'Mule on the Mount' wherever you hear it?,Herbert Halpert
00:00:28,Zora Neale Hurston,"Well, there's some place that I haven't heard that same verse 'Mule on the Mount' but there's no place that I don't hear some of the same verses.",Zora Neale Hurston
00:00:35,Herbert Halpert,Where did you learn it this particular way?,Herbert Halpert
00:00:38,Zora Neale Hurston,"Well, I heard the first verses, I got it in my native village of Eatonville, Florida from George Thomas.",Zora Neale Hurston
00:00:46,Herbert Halpert,And this is one version you're going to sing?,Herbert Halpert
00:00:48,Zora Neale Hurston,"I'm going to sing, oh I guess, all the tune is the same. I'm going to sing verses from a whole lots of places.",Zora Neale Hurston
00:00:53,Herbert Halpert,Alright.,Herbert Halpert
00:03:39,Herbert Halpert,"When you hear that sung, or nearly sung, about how many verses does a man know? He doesn't know as many as you do.",Herbert Halpert
00:03:46,Zora Neale Hurston,"Yes, sometimes they sing 30 and 40 verses.",Zora Neale Hurston
00:03:49,Herbert Halpert,Is one of these continuous?,Herbert Halpert
00:03:51,Zora Neale Hurston,It's one of these things that's grown by incremental repetition until perhaps it's the longest song in America.,Zora Neale Hurston
00:03:57,Herbert Halpert,[inaudible],Herbert Halpert
00:03:58,Zora Neale Hurston,Zora Neale Hurston laughs [distortion],Zora Neale Hurston
00:04:07,Herbert Halpert,"What's your name, please?",Herbert Halpert
00:04:08,Beatrice Lange,Beatrice Lange.,Beatrice Lange
00:04:10,Herbert Halpert,Where do you come from?,Herbert Halpert
00:04:12,Beatrice Lange,I came from South Georgia.,Beatrice Lange
00:04:15,Herbert Halpert,Where? What part of South Georgia?,Herbert Halpert
00:04:17,Beatrice Lange,Woodbine.,Beatrice Lange
00:04:18,Herbert Halpert,And how old are you?,Herbert Halpert
00:04:19,Beatrice Lange,35,Beatrice Lange
00:04:20,Herbert Halpert,And what are you going to tell us or?,Herbert Halpert
00:04:22,Beatrice Lange,"Well, I'm going to tell some folk stories that my brother-in-law told me.",Beatrice Lange
00:04:28,Herbert Halpert,How long ago?,Herbert Halpert
00:04:29,Beatrice Lange,About a year ago.,Beatrice Lange
00:04:30,Herbert Halpert,"A short, a short while back.",Herbert Halpert
00:04:31,Beatrice Lange,"Well, it happened longer than that but he told me about a year ago.",Beatrice Lange
00:04:35,Herbert Halpert,"I mean, how did it, it happened long ago . . . what do you mean by that?",Herbert Halpert
00:04:37,Beatrice Lange,I mean that the story happened longer than that.,Beatrice Lange
00:04:40,Herbert Halpert,"Well, how did it go? I mean how did it --",Herbert Halpert
00:04:42,Beatrice Lange,"Well, this old negro of his told him about it. The negro belonged to his father.",Beatrice Lange
